"","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"48","Luther-Ingram","Pink-Floyd","Al-Green","Labelle","The-Don-Harrison-Band","Bob-Seger","Plastic-Bertrand","Billy-Joel","Tommy-Tutone","Steve-Winwood","Bertie-Higgins","Billy-Idol","Yarbrough-Peoples","Robert-Plant","Psychedelic-Furs","Steve-Winwood","Billy-Ocean","Great-White","Michael-Bolton","The-Black-Crowes","Rod-Stewart","Geto-Boys","Huey-Lewis-The-News","Brian-McKnight","Goo-Goo-Dolls","Le-Click","DMX-Featuring-Sheek-Of-The-Lox","Britney-Spears","Marc-Anthony","Tyrese","Paulina-Rubio","Nas","Chingy-Featuring-J-Weav","Rascal-Flatts","LeToya","Beyonce-Shakira","Taylor-Swift","Kanye-West","Young-Jeezy-Featuring-Plies","Bruno-Mars","Maroon-5-Featuring-Christina-Aguilera","Taylor-Swift","Sia","Hozier","Dierks-Bentley","A-Boogie-Wit-da-Hoodie-Featuring-Kodak-Black","Nicky-Jam-x-J-Balvin","5-Seconds-Of-Summer","Tones-And-I","Nicki-Minaj-Drake-Lil-Wayne"
"49","Aretha-Franklin","The-Dells","Charlie-Rich","10cc","Bill-Cosby","Boz-Scaggs","Diana-Ross","Saint-Tropez","Electric-Light-Orchestra","John-Cougar","Journey","Sparks-Jane-Wiedlin","Elton-John","Daryl-Hall-John-Oates","Belinda-Carlisle","Jennifer-Rush-Duet-With-Elton-John","Terence-Trent-D-Arby","Dino","Tommy-Page","Rhythm-Syndicate","Vanessa-Williams","Duran-Duran","Phil-Collins","Shaggy","H-Town","Warren-G","Canibus","Alabama-Featuring-N-Sync","Lee-Ann-Womack","Samantha-Mumba","Lonestar","The-Isley-Brothers-Featuring-Ronald-Isley","Keith-Urban","Trillville-Featuring-Cutty","Paul-Wall","Down-A-K-A-Kilo","James-Otto","Jason-Aldean","3OH-3","YC-Featuring-Future","Nicki-Minaj-Featuring-2-Chainz","AWOLNATION","One-Direction","Florida-Georgia-Line","Disturbed","XXXTENTACION","Dua-Lipa","21-Savage","Polo-G-Featuring-Juice-WRLD","Lil-Baby"
"50","Mouth-MacNeal","Albert-Hammond","The-New-Birth","Melissa-Manchester","Keith-Carradine","Marie-Osmond","KC-And-The-Sunshine-Band","Anne-Murray","Olivia-Newton-John","Carole-Bayer-Sager","Van-Halen","James-Ingram-And-Patti-Austin","Corey-Hart","Commodores","The-S-O-S-Band","Janet-Jackson","Kylie-Minogue","SaFire","Lisa-Stansfield","Wilson-Phillips","Colourhaus","En-Vogue","FRENTE","Fun-Factory","Lost-Boyz","DJ-Kool","Pearl-Jam","Mark-Wills","Clay-Davidson","Crazy-Town","Craig-David","Avril-Lavigne","Yellowcard","Dierks-Bentley","Anna-Nalick","Justin-Timberlake","Rascal-Flatts","The-Black-Eyed-Peas","Joe-Nichols","Bruno-Mars","Zac-Brown-Band","Ciara","Passenger","Echosmith","Alessia-Cara","Linkin-Park-Featuring-Kiiara","Rae-Sremmurd-Juicy-J","Blueface","Lil-Baby","Dylan-Scott"
"51","Godspell","John-Ernest","Graham-Central-Station","Gwen-McCrae","Vicki-Sue-Robinson","Manfred-Mann-s-Earth-Band","Foghat","Rockets","Alice-Cooper","The-Dillman-Band","Neil-Diamond","New-Edition","Michael-Jackson","Depeche-Mode","Pet-Shop-Boys","George-Michael","The-Cover-Girls","The-Outfield","Mariah-Carey","Corina","Mitch-Malloy","Bizarre-Inc","John-Mellencamp-With-Me-Shell-Ndegeocello","Various-Artists","Gloria-Estefan","3rd-Party","The-Verve","Vengaboys","3-Doors-Down","matchbox-twenty","Avril-Lavigne","Ginuwine-Featuring-Baby","Britney-Spears","Fat-Joe-Featuring-Nelly","Jamie-Foxx-Featuring-Twista","Big-Rich","Kardinal-Offishall-Featuring-Akon","Pleasure-P","Avenged-Sevenfold","Enrique-Iglesias-With-Usher-Featuring-Lil-Wayne","B-o-B","Calvin-Harris-Featuring-Ellie-Goulding","Thomas-Rhett","Nicki-Minaj","Ariana-Grande","Migos-Featuring-Gucci-Mane","BTS","Billie-Eilish","Miranda-Lambert","City-Girls"
"52","Humble-Pie","Jerry-Lee-Lewis","Ringo-Starr","Steely-Dan","Brotherhood-Of-Man","Kris-Kristofferson","Paul-Davis-Feat-Susan-Collins","Atlanta-Rhythm-Section","Billy-Joel","Phoebe-Snow","The-J-Geils-Band","Prince","Kenny-Loggins","Gino-Vannelli","Giuffria","Anita-Baker","Johnny-Kemp","Roxette","George-LaMond","Aftershock","Michael-Jackson","Regina-Belle","Gabrielle","Brandy","Bush","Montell-Jordan","Timbaland-Magoo","Kenny-Chesney","Kid-Rock","George-Strait","Gary-Allan","Counting-Crows-Featuring-Vanessa-Carlton","Mase","Shakira-Feat-Alejandro-Sanz","Phil-Vassar","Bobby-Valentino-Featuring-Timbaland","Flyleaf","Jesse-McCartney-Featuring-Ludacris","Lady-Antebellum","Chris-Young","Tim-McGraw","Hunter-Hayes","KONGOS","Billy-Currington","Luke-Bryan","Niall-Horan","YoungBoy-Never-Broke-Again","Kelsea-Ballerini","Chris-Brown-Young-Thug","Chris-Young-Kane-Brown"
"53","Marvin-Gaye","The-Dramatics","Mike-Oldfield","Eagles","ABBA","10cc","Billy-Joel","Bob-Seger-The-Silver-Bullet-Band","Captain-Tennille","John-O-Banion","Vangelis","The-Fixx","Peabo-Bryson","John-Fogerty","Prince-And-The-Revolution","Starship","Steve-Winwood","Fine-Young-Cannibals","Go-West","Simple-Minds","TKA","David-Crosby-Phil-Collins","Patra","Alison-Krauss-Union-Station","Nonchalant","Real-McCoy","S-O-A-P","Sarah-McLachlan","504-Boyz","Aerosmith","Faith-Evans","Linkin-Park","George-Strait","Simple-Plan","LeAnn-Rimes","Green-Day","V-I-C","Plain-White-T-s","Chris-Young","Big-Sean-Featuring-Chris-Brown","Young-Jeezy-Featuring-Ne-Yo","Baauer","Future-Featuring-Pharrell-Pusha-T-Casino","A-Thousand-Horses","Old-Dominion","The-Chainsmokers","Daddy-Yankee","YG-Tyga-Jon-Z","Diplo-Presents-Thomas-Wesley-Featuring-Morgan-Wallen","Moneybagg-Yo"
"54","Eagles","Jim-Stafford","Bill-Withers","The-Spinners","Elvis-Presley","David-Soul","Roberta-Flack","Orleans","Rodney-Crowell","Dave-Edmunds","Blondie","The-Human-League","John-Cougar-Mellencamp","Debarge","Billy-Joel","Surface","Natalie-Cole","The-Cure","Del-Amitri","Poison","Boyz-II-Men","The-Pharcyde","Ice-Cube","Subway-Featuring-702","Billie-Ray-Martin","Hev-D","Garbage","R-Kelly","Toby-Keith","Montgomery-Gentry","Carolyn-Dawn-Johnson","Lumidee","Christina-Milian","Natalie","Saving-Jane","The-Smashing-Pumpkins","Kenny-Chesney","Maino-Featuring-T-Pain","Usher-Featuring-Nicki-Minaj","Martin-Solveig-Dragonette","Wiz-Khalifa","Maroon-5","Brett-Eldredge","Pitbull-Featuring-Chris-Brown","Flume-Featuring-Kai","Kendrick-Lamar-Featuring-Zacari","Morgan-Wallen-Featuring-Florida-Georgia-Line","Chase-Rice","Lil-Baby","Dua-Lipa"
"55","Procol-Harum","Michael-Jackson","The-Guess-Who","Sha-Na-Na","Johnny-Cash-And-The-Tennessee-Three","Jennifer-Warnes","Kayak","Suzi-Quatro-Chris-Norman","The-Invisible-Man-s-Band","Billy-Squier","John-Schneider","Thompson-Twins","Eddy-Grant","Men-At-Work","The-Fixx","Lou-Gramm","Nia-Peeples","Henry-Lee-Summer","Young-And-Restless","Yo-Yo-Featuring-Ice-Cube","The-Outfield","Mary-J-Blige","The-Cranberries","Rod-Stewart","Jay-Z-Featuring-Foxxy-Brown","Jocelyn-Enriquez","Aretha-Franklin","Total","Sting-Featuring-Cheb-Mami","Ray-J-Featuring-Lil-Kim","P-Diddy-Ginuwine-Featuring-Loon-Mario-Winans-Tammy-Ruggeri","Panjabi-MC-Featuring-Jay-Z","JAY-Z","Toby-Keith","Carrie-Underwood","Kelly-Rowland-Featuring-Eve","Ne-Yo","Eminem","Luke-Bryan","The-Band-Perry","LoveRance-Featuring-IamSu-Skipper-or-50-Cent","Krewella","Justin-Moore","Nicki-Minaj-Featuring-Drake-Lil-Wayne","Drake","Darius-Rucker","Charlie-Puth-Featuring-Kehlani","P-nk","Gunna-Featuring-Travis-Scott","Dierks-Bentley"
"56","100-Proof-Aged-in-Soul","Lobo","ZZ-Top","Queen","Johnnie-Taylor","Natalie-Cole","Samantha-Sang","Claudja-Barry","Pat-Travers-Band","Joe-Walsh","The-Steve-Miller-Band","Dave-Edmunds","LaToya-Jackson","Heart","INXS","Gino-Vannelli","Climie-Fisher","Tone-Loc","ZZ-Top","The-Escape-Club","Nirvana","Men-At-Large","Masta-Ace-Incorporated","IV-Xample","Coolio","Michael-Bolton","La-Bouche","Sheryl-Crow","Kenny-Chesney","Dixie-Chicks","John-Mayer","Stacie-Orrico","Brandy-Featuring-Kanye-West","Foo-Fighters","Jason-Aldean","Emerson-Drive","Chris-Brown","Adam-Lambert","Lloyd-Banks-Featuring-Juelz-Santana","Keith-Urban","Havana-Brown-Featuring-Pitbull","Miranda-Lambert","Rascal-Flatts","Sam-Smith","Drake-Featuring-Future","Dierks-Bentley","Lauv","Marshmello-Featuring-CHVRCHES","Pop-Smoke","Jordan-Davis"
"57","John-Lennon-Plastic-Ono-Band-With-Elephant-s-Memory","Bobby-Boris-Pickett-And-The-Crypt-Kickers","Diana-Ross-Marvin-Gaye","Justin-Hayward-John-Lodge","Bro-Smith","Bay-City-Rollers","Odyssey","Leif-Garrett","Roberta-Flack-With-Donny-Hathaway","Kool-The-Gang","Rick-Springfield","Pat-Benatar","Tina-Turner","Natalie-Cole","Magazine-60","Debbie-Gibson","Elisa-Fiorillo","Peter-Gabriel","Motley-Crue","Damn-Yankees","CeCe-Peniston","Johnny-Gill","Xscape","H-Town","Dishwalla","Bill-Engvall-With-Special-Guest-Travis-Tritt","2Pac-Featuring-Eric-Williams","Cher","Destiny-s-Child","Tank","Ludacris-Featuring-Sleepy-Brown","Lil-Kim-Featuring-Mr-Cheeks","David-Lee-Murphy","Webbie-Featuring-Bun-B","Angels-Airwaves","Dashboard-Confessional","Keyshia-Cole","Montgomery-Gentry","Usher","Beyonce","Miranda-Lambert","Phillip-Phillips","Blake-Shelton-Featuring-Gwen-Sebastian","Kid-Ink-Featuring-DeJ-Loaf","Drake","Lady-Gaga","Kenny-Chesney","Offset-Featuring-Cardi-B","Gunna","Miranda-Lambert"
"58","J-J-Cale","First-Choice","Blue-Swede","Consumer-Rapport","Jimmy-Dean","Jackson-Browne","REO-Speedwagon","Kansas","Mickey-Gilley","Tommy-James","Haircut-One-Hundred","Lee-Greenwood","Sergio-Mendes","The-Power-Station","ZZ-Top","Robbie-Nevil","Chicago","Queen","Lisa-Stansfield","Monie-Love-Featuring-True-Image","Tracie-Spencer","Restless-Heart-Featuring-Warren-Hill","Snoop-Doggy-Dogg","Matthew-Sweet","Deborah-Cox","DJ-Taz-Featuring-Raheem-The-Dream","Elton-John","K-Ci-JoJo","Dr-Dre-Featuring-Snoop-Dogg","QB-Finest-Featuring-Nas-Bravehearts","N-O-R-E","Montgomery-Gentry","Avant","Mario","Ashley-Parker-Angel","Carrie-Underwood","David-Archuleta","Kellie-Pickler","Brad-Paisley","Glee-Cast","Brantley-Gilbert","DJ-Khaled-Featuring-Drake-Rick-Ross-Lil-Wayne","Neon-Trees","Ed-Sheeran","Future","Playboi-Carti","Famous-Dex","YK-Osiris","Drake-Featuring-Giveon","Bella-Poarch"
"59","The-Stylistics","Kris-Kristofferson","The-Steve-Miller-Band","Barry-White","Queen","Al-Stewart","Jefferson-Starship","Blondie","Rick-Pinette-Oak","Stephanie-Mills-Featuring-Teddy-Pendergrass","Melissa-Manchester","Devo","Paul-Young","Kenny-Loggins","Sade","Cameo","Gloria-Estefan-Miami-Sound-Machine","Chicago","Billy-Joel","Damian-Dame","Brotherhood-Creed","Big-Mountain","Zhane","Brownstone","Seal","Michael-Jackson","INOJ-LATHUN","Dixie-Chicks","Lucy-Pearl","Sugar-Ray","Tweet","Trapt","Brooks-Dunn","Missy-Elliott-Featuring-Ciara-Fat-Man-Scoop","Paula-DeAnda-Featuring-Baby-Bash","Fantasia","Lifehouse","Daughtry","Carrie-Underwood","Dr-Dre-Featuring-Eminem-Skylar-Grey","Nicki-Minaj-Featuring-Chris-Brown","The-Band-Perry","Jhene-Aiko","Chris-Brown-Tyga","gnash-Featuring-Olivia-O-Brien","YFN-Lucci-Featuring-PnB-Rock","J-Cole","Joyner-Lucas-Featuring-Logic","Gunna-Featuring-Lil-Baby","J-Cole"
"60","The-Preacher-Bobby-Womack","Fred-Wesley-The-J-B-s","John-Denver","Mike-Post","Candi-Staton","Heart","Steely-Dan","Space","Glen-Campbell-Rita-Coolidge","Frankie-Smith","Eye-To-Eye","Loverboy","Robin-Gibb","Klymaxx","Stevie-Nicks","REO-Speedwagon","Ziggy-Marley-And-The-Melody-Makers","Karyn-White","Adam-Ant","Glenn-Frey","Cause-And-Effect","Bon-Jovi","Aretha-Franklin","Corona","Melissa-Etheridge","The-Lemonheads","Loreena-McKennitt","Sporty-Thievz-Featuring-Mr-Woods","Son-By-Four","O-Town","Ying-Yang-Twins","50-Cent","Kimberley-Locke","Anna-Nalick","Blue-October","Papa-Roach","David-Archuleta","Drake","Clay-Walker","Miranda-Lambert","Taylor-Swift","Jennifer-Lopez-Featuring-Pitbull","Lee-Brice","Kanye-West-Featuring-Theophilus-London-Allan-Kingdom-Paul-McCartney","Maren-Morris","Florida-Georgia-Line-Featuring-Backstreet-Boys","Lil-Pump","DJ-Khaled-Featuring-SZA","Lil-Baby-42-Dugg","Billie-Eilish"
"61","Beverly-Bremers","Tower-Of-Power","Nilsson","Supertramp","Johnnie-Taylor","Crosby-Stills-Nash","Toby-Beau","Neil-Diamond","Genesis","Chaka-Khan","Jon-Vangelis","Sheriff","Berlin","Amy-Grant","Jermaine-Stewart","Rock-And-Hyde","John-Mellencamp","Living-Colour","Damn-Yankees","Keith-Washington","Weird-Al-Yankovic","95-South","Ahmad","Naughty-By-Nature","Mary-J-Blige","Christion","Jo-Dee-Messina","Lit","Mya-Featuring-Jadakiss","Toya","Tweet","Shania-Twain","Mis-Teeq","George-Strait","AFI","Ozzy-Osbourne","Ashanti","Kevin-Rudolf-Featuring-Rick-Ross","David-Guetta-Chris-Willis-Featuring-Fergie-LMFAO","T-Pain-Featuring-Chris-Brown","Gym-Class-Heroes-Featuring-Ryan-Tedder","2-Chainz-Wiz-Khalifa","Coldplay","Future","MadeinTYO","Drake-Featuring-Quavo-Travis-Scott","Pitbull-x-El-Chombo-x-Karol-G-Featuring-Cutty-Ranks","YNW-Melly","twenty-one-pilots","Coi-Leray-Featuring-Lil-Durk"
"62","Stephen-Stills","The-Blue-Ridge-Rangers","George-McCrae","Commodores","Bellamy-Brothers","Neil-Sedaka","Pablo-Cruise","Robert-John","Change","Barbra-Streisand","The-Waitresses","Martin-Briley","Psychedelic-Furs","Don-Henley","Peter-Cetera","Steve-Winwood","Suave","The-Cult","Michael-Penn","Keedy","Chris-Walker","Taylor-Dayne","Janet-Jackson","Luniz","Spacehog","Ray-J","JD-Featuring-Da-Brat","Trick-Daddy-Featuring-Trina","George-Strait","Alan-Jackson","Ruff-Endz","Heather-Headley","Jet","Trace-Adkins","Rascal-Flatts","Tracy-Lawrence","Britney-Spears","Kings-Of-Leon","Jerrod-Niemann","Justin-Moore","Travis-Porter-Featuring-Tyga","Jake-Owen","YG-Featuring-Drake","Kelsea-Ballerini","Dreezy-Featuring-Jeremih","Keith-Urban-Featuring-Carrie-Underwood","Post-Malone-Featuring-Nicki-Minaj","Eli-Young-Band","Migos-Featuring-YoungBoy-Never-Broke-Again","Nelly-Florida-Georgia-Line"
"63","Alice-Cooper","Foster-Sylvers","Love-Unlimited-Orchestra","James-Brown","Natalie-Cole","KISS","Chicago","Wet-Willie","Journey","Joe-Dolce","Sparks","Duran-Duran","Laid-Back","Menudo","Trans-X","The-Jets","Whitney-Houston","Rick-Astley","Babyface","Tracie-Spencer","Redhead-Kingpin-The-F-B-I","Onyx","Coolio","Boyz-II-Men","Bryan-Adams","Jon-Secada","Various-Artists","Mariah-Carey","Tim-McGraw","Eden-s-Crush","Brooks-Dunn","Jason-Mraz","Linkin-Park","Nine-Inch-Nails","Brad-Paisley","Amy-Winehouse","Lady-Antebellum","Theory-Of-A-Deadman","Colbie-Caillat","Ace-Hood","Drake-Featuring-Lil-Wayne","Brad-Paisley","Iggy-Azalea","Sawyer-Fredericks","Dustin-Lynch","Logic-Featuring-Alessia-Cara-Khalid","A-AP-Rocky-Featuring-Moby","Maren-Morris","Don-Toliver","Trippie-Redd-Playboi-Carti"
"64","The-Raiders","The-O-Jays","Gene-Redding","The-Charlie-Daniels-Band","David-Bowie","Commodores","Todd-Rundgren","Suzi-Quatro","Van-Halen","Juice-Newton","Kim-Wilde","Scandal-Featuring-Patty-Smyth","Talk-Talk","Dokken","Jeffrey-Osborne","The-Other-Ones","Jody-Watley","Bobby-Brown","Howard-Hewett","Lenny-Kravitz","Annie-Lennox","Elton-John","Jodeci","Elastica","Angelina","Erasure","Five","Pearl-Jam","Rascal-Flatts","Trick-Daddy-Featuring-The-SNS-Express","Kellie-Coffey","Brooks-Dunn","Blink-182","Audioslave","The-Pussycat-Dolls-Featuring-will-i-am","Young-Jeezy-Featuring-R-Kelly","Flobots","Kenny-Chesney","Glee-Cast","Lil-Wayne-Featuring-Rick-Ross","fun","Nicki-Minaj-Featuring-Lil-Wayne","Young-Money-Featuring-Drake","Kenny-Chesney-With-Grace-Potter","Drake-Featuring-PARTYNEXTDOOR","Tee-Grizzley","Foster-The-People","Jonas-Brothers","Florida-Georgia-Line","Young-Thug-Gunna"
"65","Climax-ring-Sonny-Geraci","Diana-Ross","Golden-Earring","Olivia-Newton-John","Lee-Garrett","Rose-Royce","Bob-Welch","Village-People","Kim-Carnes","38-Special","The-Gap-Band","Michael-Jackson","Nik-Kershaw","Jean-Knight","Hooters","Al-Jarreau","Glass-Tiger","Kevin-Raleigh","The-U-Krew","Brandon","Eddie-Money","Mary-J-Blige","Keith-Sweat","Mary-J-Blige","Puff-Johnson","Nu-Flavor-Featuring-Roger","George-Strait","Orgy","Da-Brat-Featuring-Tyrese","Blu-Cantrell","Nappy-Roots","Train","Kevin-Lyttle-Featuring-Spragga-Benz","Craig-Morgan","Jack-Johnson","R-Kelly-Duet-With-Usher","Estelle-Featuring-Kanye-West","Billy-Currington","Jason-Aldean","David-Guetta-Featuring-Flo-Rida-Nicki-Minaj","Kenny-Chesney","B-o-B-Featuring-2-Chainz","Tiesto","Carrie-Underwood","Drake","Thomas-Rhett-Featuring-Maren-Morris","Pusha-T","Lil-Uzi-Vert","Gunna","Jake-Owen"
"66","Carlo-Savina","B-W-Stevenson","ABBA","Glen-Campbell","Wet-Willie","Supertramp","Walter-Egan","Thelma-Houston","Blues-Brothers","The-Moody-Blues","The-Temptations-Featuring-Rick-James","The-Hollies","Queen","Paul-Hardcastle","Patti-Austin","Nona-Hendryx","Depeche-Mode","Roxette","Electronic","Timmy-T","Nice-Smooth","Tina-Turner","H-Town-Al-B-Sure","Foreigner","Sting","Tori-Amos","Salt-N-Pepa","Joe-Diffie","Kenny-Rogers-With-Alison-Krauss-Billy-Dean","Destiny-s-Child","Donell-Jones","Craig-Morgan","Velvet-Revolver","Mariah-Carey","Bo-Bice","Jordin-Sparks","Coldplay","Kris-Allen","Trey-Songz","Rihanna","Dierks-Bentley","Eric-Church","Christina-Grimmie-Adam-Levine","Rihanna-Kanye-West-Paul-McCartney","Pitbull-Featuring-Enrique-Iglesias","Chris-Blue","YG-Featuring-2-Chainz-Big-Sean-Nicki-Minaj","Yo-Gotti-Featuring-Lil-Baby","Jonas-Brothers-Featuring-Karol-G","Lil-Nas-X"
"67","Donna-Fargo","The-South-Side-Movement","Harold-Melvin-And-The-Blue-Notes","Kool-The-Gang","Narvel-Felts","Atlanta-Rhythm-Section","Steve-Martin-And-The-Toot-Uncommons","Maxine-Nightingale","The-Isley-Brothers","Robbie-Dupree","The-Frank-Barber-Orch","Jarreau","Kool-The-Gang","New-Edition","The-Art-Of-Noise-Featuring-Duane-Eddy","Journey","Kool-Moe-Dee","Stevie-B","Tony-Toni-Tone","Londonbeat","CeCe-Peniston","Young-Black-Teenagers","Crystal-Waters","Vanessa-Williams","Lionel-Richie","Joose","Dixie-Chicks","Reba","LeAnn-Rimes","Brad-Paisley","Puddle-Of-Mudd","Tim-McGraw","Monica","Sugarland","Rick-Ross","Boys-Like-Girls","David-Cook","Hurricane-Chris-Featuring-SupaSTAAR","T-I","Eric-Church","Alex-Clare","Lady-Antebellum","Chris-Young","Zac-Brown-Band","Carrie-Underwood","Katy-Perry-Featuring-Migos","Dierks-Bentley","DJ-Khaled-Featuring-Meek-Mill-J-Balvin-Lil-Baby-Jeremih","Gunna","42-Dugg-Roddy-Ricch"
"68","Roberta-Flack-Donny-Hathaway","Anne-Murray","Brownsville-Station","Charlie-Rich","The-Isley-Brothers","Bonnie-Raitt","Barry-Manilow","James-Taylor","Cheap-Trick","Greg-Kihn-Band","Leslie-Pearl","David-Bowie","Duke-Jupiter","Corey-Hart","Neil-Diamond","The-Truth","10-000-Maniacs","One-2-Many","Tommy-Page","Tony-Toni-Tone","Good-2-Go","Sade","Sheryl-Crow","K7","Everything-But-The-Girl","Paul-McCartney","John-Forte","Trina-Tamara","Trace-Adkins","Sarina-Paris","Joe","Kenny-Chesney","Tracy-Lawrence","Dave-Matthews-Band","The-Wreckers","50-Cent","Phil-Vassar","Carrie-Underwood-Featuring-Randy-Travis","Steel-Magnolia","Ronnie-Dunn","Toby-Keith","B-o-B-Featuring-T-I-Juicy-J","Shakira","Jessie-J","Grace-Featuring-G-Eazy","Dan-Shay","Jay-Rock-Kendrick-Lamar-Future-James-Blake","Logic-Featuring-Eminem","Bad-Bunny","42-Dugg-Featuring-Future"
"69","Chris-Hodge","Carpenters","Bachman-Turner-Overdrive","Rufus-Featuring-Chaka-Khan","B-T-Express","The-Jacksons","Dave-Mason","Elton-John","Dan-Fogelberg","The-Gap-Band","Greg-Kihn-Band","Bryan-Adams","Bon-Jovi","Hooters","Gavin-Christopher","Aretha-Franklin-George-Michael","Henry-Lee-Summer","Stevie-B","Don-Henley","Tara-Kemp","Bruce-Springsteen","Luther-Vandross","OutKast","Rappin-4-Tay-Featuring-The-Spinners","Tina-Arena","Mint-Condition","Olivia-Newton-John","Case","Reba-McEntire","Craig-David","Staind","Jeff-Bates","Lenny-Kravitz","Marques-Houston-Featuring-Young-Rome","Taylor-Hicks","Rob-Thomas","George-Strait","The-Ting-Tings","Iyaz","Lil-Wayne","Linkin-Park","Randy-Houser","Tyler-Farr","Zedd-Featuring-Selena-Gomez","Chris-Young-Duet-With-Cassadee-Pope","Russ","David-Lee-Murphy-Kenny-Chesney","Beyonce","Kenny-Chesney","Migos"
"70","The-Guess-Who","Earnest-Jackson","Jimmy-Buffett","Grover-Washington-Jr","Walter-Murphy-The-Big-Apple-Band","Thelma-Houston","Gary-Tanner","Bellamy-Brothers","Allan-Clarke","Jim-Steinman","Quarterflash","Greg-Kihn-Band","Juice-Newton","Boy-Meets-Girl","E-G-Daily","The-Cover-Girls","Aerosmith","Milli-Vanilli","Luther-Vandross","Tevin-Campbell","Laura-Enea","Prince-Markie-Dee-And-The-Soul-Convention","Sudden-Change","U-N-V","Chantay-Savage","KRS-One","7-Mile","Deborah-Cox","Creed","2Pac","Kenny-Chesney","Michelle-Branch","Jadakiss-Featuring-Nate-Dogg","Fantasia","Fall-Out-Boy","Yung-Berg-Featuring-Junior","Sean-Kingston-Featuring-Elan-Juelz-Santana","Alan-Jackson","George-Strait","Mike-Posner-Featuring-Lil-Wayne","DJ-Khaled-Featuring-Chris-Brown-Rick-Ross-Nicki-Minaj-Lil-Wayne","Olly-Murs-Featuring-Flo-Rida","Phillip-Phillips","Fall-Out-Boy","Keith-Urban","Kendrick-Lamar-Featuring-Rihanna","Halsey-Featuring-Big-Sean-Stefflon-Don","Lewis-Capaldi","Gunna","Blake-Shelton"
"71","Elvis-Presley","Willie-Hutch","The-Impressions","Four-Tops","Todd-Rundgren","Rod-Stewart","Joe-Walsh","Rick-James","The-Charlie-Daniels-Band","Get-Wet","Four-Tops","Michael-Sembello","Shannon","Foreigner","Wild-Blue","Mondo-Rock","Billy-Ocean","Surface","Alannah-Myles","B-Angie-B","Giggles","Damn-Yankees","Shai","Usher","Lenny-Kravitz","Westside-Connection","Baby-Talk","Eric-Benet-Featuring-Faith-Evans","Splender","Mark-McGuinn","Amerie","Lil-Jon-The-East-Side-Boyz-Featuring-Ying-Yang-Twins","Clay-Walker","D-H-T","Snow-Patrol","Rascal-Flatts","Taylor-Swift","Jason-Mraz-Colbie-Caillat","Rascal-Flatts","Dierks-Bentley","Trey-Songz","Kip-Moore","KCamp-Featuring-2-Chainz","Kelly-Clarkson","Jon-Pardi","Lady-Antebellum","Blake-Shelton","Megan-Thee-Stallion","JACKBOYS-Featuring-Young-Thug","J-Cole"
"72","Donny-Osmond","Stephen-Stills-Manassas","The-Undisputed-Truth","KISS","The-4-Seasons","Teddy-Pendergrass","Demis-Roussos","Helen-Reddy","Ozark-Mountain-Daredevils","Anne-Murray","Rod-Stewart","Styx","Face-To-Face","Animotion","Atlantic-Starr","Club-Nouveau","Tony-Toni-Tone","De-La-Soul","Timmy-T","Wilson-Phillips","R-Kelly-Public-Announcement","Bobby-Brown","Pretenders","Jill-Sobule","D-Angelo","Sneaker-Pimps","Rockell","Citizen-King","Eric-Heatherly","Aaliyah-Featuring-Timbaland","Creed","Ludacris","Teena-Marie-Featuring-Baby","Frankie-J","E-40-Featuring-T-Pain-Kandi-Girl","Montgomery-Gentry","Blake-Shelton","Adam-Lambert","Diddy-Dirty-Money-Featuring-T-I","Maroon-5","Chris-Brown","Macklemore-Ryan-Lewis-Featuring-Mary-Lambert","Keith-Urban","Canaan-Smith","Drake","Chris-Brown","Brett-Young","Brett-Eldredge","Juice-WRLD","J-Cole"
"73","Bobby-Vinton","The-Manhattans","Oscar-Brown-Jr","Gene-Cotton","Michel-Polnareff","C-J-Company","Jackson-Browne","Bob-Welch","Leon-Haywood","The-Pointer-Sisters","Survivor","Berlin","Alabama","Don-Henley","Bob-Seger","Carly-Simon","Eurythmics","Wang-Chung","Ana","After-7","Black-Sheep","Jodeci","The-Crooklyn-Dodgers","Yaki-Da","Faith-Evans","Faithless","Tracy-Byrd","Silkk-The-Shocker-Featuring-Mystikal","Elton-John","Jessica-Andrews","Toby-Keith","Alan-Jackson","Lloyd-Featuring-Ashanti","Bow-Wow-Featuring-Omarion","Keith-Anderson","The-White-Stripes","David-Cook","Jason-Michael-Carroll","Christina-Aguilera","Jake-Owen","2-Chainz-Featuring-Drake","Imagine-Dragons","Joe-Nichols","Shaggy-Featuring-Mohombi-Faydee-Costi","Adam-Wakefield","Dylan-Scott","Pusha-T","Lunay-Daddy-Yankee-Bad-Bunny","JP-Saxe-Featuring-Julia-Michaels","Drake"
